,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,CESSPOOL_Density_perAcre_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
9,48,28.860556844834566,30,22.443333333333342,0.0,0.0,9.449589856904247,1.355894259770057,47.948690467684834,5.459654436117895,2.985443516454833,13.495714562094896,100.0,0.0,41.584158415841564,33.0,66.0,48.43148411062527,69.61494655852614,1.0,Medium,2.0
15,72,25.371991420073755,21,30.840340136054422,0.0,0.0,9.52156183654817,5.5350379453679786,8.919385611185874,9.293286360801098,36.352074285537185,29.20328994932138,51.125706397542686,0.0,60.39603960396041,31.428571428571427,0.0,36.27831411576872,97.05825505052073,1.0,Medium,2.0
23,113,13.3898039930858,35,33.284285714285716,0.0,0.0,2.2502072437285654,1.3370715546063685,6.564835404265685,4.914534782158921,2.8969505420025246,3.2859087307564376,23.65923658370916,0.0,1.9236209335219232,22.62857142857143,76.68571428571428,17.02920017867096,17.776726507380832,0.0,Low,3.0
26,117,20.397028876586905,61,33.96962529274009,0.0,50.81967213114754,5.130604891431349,1.661309934148314,23.822656885368097,21.70640322545629,2.6826015182747476,2.79258471137918,21.4478702291972,0.0,16.13374452199318,24.885245901639344,66.1311475409836,47.69305059347095,7.475944648160773,0.0,Low,3.0
36,137,31.73668209408629,25,28.83542857142858,69.16,0.0,70.13943379664687,20.833007204460724,14.66074552734505,1.9528999245787202,7.751271892617134,94.36045285400127,28.98256492740431,0.0,18.33663366336634,64.68,33.0,11.745635605953193,43.34883953757853,0.96,High,1.0
46,179,30.551200527414284,35,28.800408163265317,24.571428571428573,0.0,95.08025267915488,0.954549506648226,10.400254570016997,2.756926143518388,86.92588367785818,86.05359890966287,29.24261219726985,0.0,4.582743988684584,66.0,16.02857142857143,14.82702399341068,22.594954609138632,1.0,High,1.0
47,180,13.339432717476448,11,31.92588744588744,0.0,0.0,2.631682956178123,1.7596504112378468,7.459205179231506,9.36720334631819,3.708430679333999,4.778367817189587,7.2359067803790005,0.0,1.4401440144014408,0.0,100.0,19.498988579372618,23.625456270093434,0.0,Low,3.0
50,191,31.813898689163004,16,45.10830357142858,0.0,0.0,11.263000825047941,4.693343967217495,28.43519006478359,21.120947709795864,9.672511635028954,5.195576046309056,8.934357503083717,43.75,69.12128712871288,89.375,83.0,52.418921800537525,36.93393877466243,0.625,High,1.0
52,195,31.94195024031751,12,42.09214285714285,0.0,0.0,15.477483048892298,19.33731446664128,31.515657333729465,10.408436926119231,7.321347107711741,9.424387961495825,6.0529063379062995,0.0,71.61716171617162,100.0,100.0,53.938936326556274,43.885429762713365,1.0,High,1.0
59,227,20.92723729501479,13,23.904285714285717,0.0,0.0,3.2642045360086835,3.859523015909741,5.891306113435896,29.872253013863705,4.4202043907899995,2.921520924559738,70.80905061418738,0.0,16.831683168316832,33.0,0.0,69.57518288039547,70.48658234848352,0.0,Low,3.0
73,260,30.66652503997109,11,30.315194805194803,0.0,0.0,8.420754916368496,8.005693860097145,9.207254846964851,13.385472889013972,28.653705190750532,40.63553842161642,60.856246625444435,0.0,22.77227722772278,33.0,100.0,36.42910308732781,98.98315876903621,1.0,High,1.0
74,261,25.1975045164002,20,30.48485714285714,0.0,0.0,6.851876689004875,46.05667987932625,8.529603113881988,9.650610362292465,15.156198292858543,15.669402800798167,61.03471119108574,0.0,10.297029702970297,33.0,30.0,36.42910308732781,100.0,1.0,Low,3.0
75,262,23.497223727757383,11,33.284285714285716,0.0,0.0,8.675852652424553,9.66174072879874,8.55026345708626,14.605405920849991,15.41331443512766,15.099172249978837,18.18711075531095,0.0,90.81908190819082,6.0,0.0,56.53621933589681,99.12313248616775,1.0,Low,3.0
79,281,18.163852835403105,12,44.27666666666665,0.0,0.0,4.944364663971714,28.458260665201248,6.803621367956791,7.65972623759881,6.334778011610531,5.351053938384137,41.22519960884603,0.0,28.712871287128717,0.0,0.0,61.26373779026097,55.59136512882409,0.0,Low,3.0
90,351,21.884270827526883,28,28.47571428571428,0.0,0.0,2.285920830314575,1.924256114503708,7.224207114436008,12.042747913060074,3.0065302348702394,4.052379436146894,95.15563563837516,0.0,0.9900990099009908,0.0,100.0,19.40805616202069,75.5827865010876,0.0,Low,3.0
94,370,29.994064181025742,18,32.117619047619044,0.0,0.0,5.904386210238505,4.999017784384481,31.197104481324395,14.224153405648792,3.0508492854904885,4.8002764634936606,94.59597769174579,0.0,41.58415841584157,33.0,66.0,48.43148411062529,100.0,1.0,Medium,2.0
97,393,27.804781603273867,30,20.573333333333338,0.0,0.0,5.538842737249378,17.375694828528363,72.43688369132627,10.38598590722406,1.813270679751496,5.689054325378199,79.14881399123341,0.0,10.891089108910894,66.0,66.0,86.53834569869146,2.485191350755058,0.0,Medium,2.0
98,394,27.29746361697496,17,20.57333333333333,0.0,0.0,6.24208447049498,17.80788948211702,73.51590747605465,7.924950801192588,1.91816505882751,6.644987387707182,63.79565556876384,0.0,10.891089108910895,66.0,66.0,86.53834569869143,8.907009485505949,0.0,Medium,2.0
119,493,21.127081637440533,14,28.039387755102045,4.714285714285714,0.0,40.78335848107688,7.746677386525463,14.346511734010416,2.0749781111542496,9.255580057444147,63.7059114650104,16.112755764314233,0.0,27.01555869872701,61.285714285714285,33.0,13.45649449690261,16.49609224878106,1.0,Low,3.0
128,521,29.303921365301424,54,21.775097001763683,0.0,0.0,5.162232977005298,19.756871888603566,51.33144123552854,6.40366209528821,2.6652792705393047,3.625040978909422,38.18470083253614,100.0,15.401540154015406,33.0,66.0,99.86657604437703,5.690299366256279,0.0,Medium,2.0
129,522,40.69144936532054,13,28.861538461538462,79.46153846153847,0.0,69.90620707886968,3.9046206593822825,94.11563098916268,2.6508480828313457,2.4064101731488403,94.15576551331849,9.101667513903626,0.0,30.159939070830166,60.92307692307692,66.0,88.29181982030521,21.124127097222576,1.0,High,1.0
132,529,29.731941124709287,14,23.609914965986395,0.0,0.0,5.500170518820875,21.937933910555756,49.384929690350354,5.85770826376704,2.776869299901388,3.68440226832413,7.253289633618757,100.0,48.5148514851485,33.0,66.0,100.0,8.19098795887535,0.0,Medium,2.0
136,537,23.354930254578463,21,44.43469387755103,0.0,4.761904761904762,11.379626214724116,1.6105505131512472,20.803858847137295,9.676941088115953,3.03777280758884,3.0553923685955433,6.127266379772741,0.0,14.285714285714292,80.57142857142857,100.0,58.64219934073166,15.291535016839367,0.0,Low,3.0
138,554,20.60730023067315,15,23.904285714285717,0.0,0.0,3.2393460162633625,3.718517669262114,5.887902348246113,28.930226433442506,4.368854184667442,2.892610450357182,72.63487578660198,0.0,16.831683168316832,33.0,0.0,69.57518288039547,64.73331903893164,0.0,Low,3.0
149,588,21.353053865498655,14,24.466632653061225,0.0,10.714285714285714,3.568267623654137,1.6884584795971296,47.16842056934712,34.325217049170156,1.8757039143843233,2.447573360538128,23.315055562553546,0.0,2.6874115983026883,4.714285714285714,100.0,78.7054824511509,5.9720671576477,0.0,Low,3.0
165,650,16.103070915772104,18,44.27666666666665,0.0,66.66666666666667,3.011767131737503,1.2386793845557045,8.932530824949886,4.846657554644685,5.49919101443552,6.391168381131005,31.459249072706125,0.0,0.9900990099009905,22.0,33.0,14.277382238479866,15.059076706479049,1.0,Low,3.0
166,651,16.491167942327362,11,44.27666666666665,0.0,54.54545454545455,3.126753074996461,1.328131878193621,9.003975315617296,5.375699709970565,5.905896769250037,6.8421976522552965,38.629358606113776,0.0,0.9900990099009903,33.0,33.0,14.214313701011042,13.620140147807454,1.0,Low,3.0
182,711,21.87770738553353,16,33.33333333333333,0.0,0.0,5.648749697843072,12.368493189455082,9.020676724599177,17.255318447409504,17.617837664189356,17.064993614376654,41.504050887713,0.0,3.960396039603962,0.0,100.0,18.279550838641164,73.9899177313721,0.0,Low,3.0
192,754,27.5133270895547,51,28.80154061624647,0.0,0.0,11.543813251394042,11.558701679334149,9.111777387841531,7.966754173838232,36.67356930140443,51.60804756517577,44.112119343460165,0.0,95.22422830518339,26.529411764705884,0.0,39.422741709908436,77.66052833438262,1.0,Medium,2.0
