,Uid,BlockBk_ID
0,-155.89725_19.20586,7276
1,-155.89724_19.20570,7276
2,-155.90023_19.20875,3649
3,-155.89958_19.20908,3649
4,-155.79086_19.10506,2783
5,-155.79047_19.10405,2783
6,-155.75784_19.12333,2920
7,-155.74633_19.11318,3567
8,-155.74723_19.11305,3567
9,-155.75078_19.09273,3414
10,-155.89549_19.20763,7346
11,-155.89548_19.20741,7346
12,-155.86389_19.19778,901
13,-155.86487_19.19792,901
14,-155.47667_19.20571,4255
15,-155.89268_19.20675,7727
16,-155.89560_19.20302,6477
17,-155.77293_19.10842,1163
18,-155.72036_19.13963,5334
19,-155.89778_19.20785,7276
20,-155.89620_19.20419,8536
21,-155.89985_19.20658,607
22,-155.90019_19.20271,1912
23,-155.90074_19.20338,2471
24,-155.90077_19.20371,2471
25,-155.90080_19.20388,2471
26,-155.90090_19.20402,2471
27,-155.89469_19.20448,7727
28,-155.73909_19.13076,1029
29,-155.76511_19.13142,314
30,-155.86346_19.19491,7350
31,-155.47504_19.19330,3299
32,-155.89932_19.20265,1912
33,-155.87037_19.21610,8176
34,-155.74451_19.10638,3417
35,-155.74475_19.10630,3417
36,-155.88396_19.20759,7791
37,-155.89970_19.20556,607
38,-155.76402_19.11357,3353
39,-155.73858_19.10653,5334
40,-155.78360_19.09204,2838
41,-155.75519_19.08632,3006
42,-155.88237_19.19348,6477
43,-155.75677_19.09078,3873
44,-155.78319_19.11489,2998
45,-155.89999_19.20441,7550
46,-155.89987_19.20515,7550
47,-155.73774_19.10733,5334
48,-155.78712_19.10078,3570
49,-155.79418_19.09762,2836
50,-155.79560_19.09958,2836
51,-155.75358_19.08409,3006
52,-155.79207_19.11453,3118
53,-155.77730_19.12679,780
54,-155.86303_19.19663,901
55,-155.86215_19.19665,901
56,-155.74747_19.10313,4124
57,-155.75324_19.12140,2848
58,-155.78636_19.09109,2995
59,-155.63670_19.04375,4002
60,-155.74521_19.10380,3429
61,-155.78990_19.09984,4257
62,-155.79240_19.09840,2836
63,-155.90180_19.20631,8397
64,-155.86984_19.20140,6477
65,-155.87002_19.20071,6477
66,-155.77006_19.11674,3362
67,-155.78675_19.09963,3570
68,-155.80007_19.09774,3368
69,-155.74286_19.13197,1032
70,-155.77196_19.10771,3812
71,-155.76042_19.08995,5081
72,-155.76408_19.08738,1164
73,-155.79972_19.09634,3368
74,-155.89586_19.20974,7727
75,-155.77931_19.13516,311
76,-155.75716_19.07743,6554
77,-155.89944_19.20756,7345
78,-155.74814_19.11824,3419
79,-155.89848_19.20920,7727
80,-155.62261_19.04501,4119
81,-155.73720_19.11311,5269
82,-155.77665_19.14746,1047
83,-155.80010_19.09669,3368
84,-155.88300_19.21130,8599
85,-155.63086_19.03071,4519
86,-155.89486_19.20283,7727
87,-155.89500_19.20321,7727
88,-155.76610_19.08870,3306
89,-155.76212_19.08778,4318
90,-155.77469_19.11530,4315
91,-155.89955_19.20359,7550
92,-155.85655_19.19473,7350
93,-155.85698_19.19467,7350
94,-155.85831_19.19462,7350
95,-155.89822_19.20748,1241
96,-155.76281_19.12923,2911
97,-155.89521_19.20437,8536
98,-155.89796_19.20290,1912
99,-155.59500_19.05975,3951
100,-155.58974_19.05960,3951
101,-155.77928_19.08883,3369
102,-155.77935_19.08901,3369
103,-155.58281_19.05955,5331
104,-155.75765_19.11064,5086
105,-155.76574_19.09562,3865
106,-155.74656_19.11723,3365
107,-155.74668_19.11755,3365
108,-155.76222_19.09904,3364
109,-155.90417_19.20309,1912
110,-155.90401_19.20303,1912
111,-155.89689_19.20278,1912
112,-155.89728_19.20273,1912
113,-155.89747_19.20854,7276
114,-155.89868_19.20337,6011
115,-155.86761_19.20027,901
116,-155.86572_19.19937,901
117,-155.47465_19.27137,8334
118,-155.73765_19.11622,1841
119,-155.86951_19.29686,8537
120,-155.77780_19.13186,94
121,-155.62615_19.04545,5032
122,-155.75858_19.09129,5081
123,-155.89576_19.20583,7346
124,-155.77975_19.05684,3579
125,-155.87163_19.19592,6477
126,-155.63820_19.03628,4002
127,-155.85572_19.14104,7279
128,-155.89680_19.20692,6012
129,-155.75997_19.10714,2786
130,-155.89893_19.20573,7345
131,-155.89859_19.20746,1241
132,-155.58274_19.05937,5331
133,-155.58268_19.05919,5331
134,-155.87097_19.27128,8537
135,-155.87140_19.27209,8537
136,-155.85996_19.19475,7350
137,-155.76557_19.09003,3306
138,-155.85956_19.19483,7350
139,-155.78344_19.11482,2998
140,-155.89913_19.20825,7345
141,-155.90058_19.20636,7789
142,-155.77633_19.14128,1047
143,-155.80303_19.09945,2837
144,-155.80316_19.09982,2837
145,-155.77546_19.13130,778
146,-155.75580_19.09564,3804
147,-155.75623_19.09495,3804
148,-155.75565_19.08876,1160
149,-155.86922_19.27496,8537
150,-155.86512_19.20084,901
151,-155.86468_19.20078,901
152,-155.86376_19.20057,901
153,-155.86260_19.19854,901
154,-155.86255_19.19777,901
155,-155.78534_19.09445,3803
156,-155.72174_19.14376,5766
157,-155.78440_19.09559,3803
158,-155.75585_19.10454,3565
159,-155.77316_19.10978,1163
160,-155.77007_19.11330,3361
161,-155.90443_19.20400,3649
162,-155.77988_19.11605,3568
163,-155.86524_19.19993,901
164,-155.62645_19.03907,4828
165,-155.78123_19.13213,692
166,-155.78096_19.12601,6644
167,-155.76301_19.09707,3364
168,-155.76998_19.13221,2316
169,-155.77022_19.13212,2316
170,-155.89962_19.20315,7550
171,-155.73119_19.11879,5334
172,-155.79000_19.06109,1836
173,-155.74864_19.08447,5334
174,-155.78108_19.08815,2780
175,-155.78312_19.08835,2780
176,-155.78244_19.08877,2780
177,-155.89799_19.20501,1242
178,-155.77903_19.09787,4574
179,-155.75805_19.08521,4312
180,-155.79366_19.10924,5398
181,-155.79495_19.10865,5398
182,-155.90136_19.20646,8397
183,-155.47196_19.19937,5022
184,-155.77017_19.10606,3813
185,-155.76872_19.13159,2318
186,-155.89765_19.20633,7276
187,-155.61010_19.04397,1049
188,-155.78383_19.09678,1834
189,-155.77880_19.11729,3358
190,-155.75775_19.10443,3565
191,-155.90103_19.20547,7789
192,-155.74568_19.09332,5334
193,-155.58261_19.06007,5331
194,-155.77905_19.09272,4317
195,-155.89879_19.20453,6011
196,-155.86855_19.28008,8537
197,-155.76034_19.10066,2785
198,-155.77569_19.10701,3809
199,-155.77580_19.10733,3809
200,-155.89826_19.20399,1242
201,-155.89828_19.20415,1242
202,-155.76227_19.10261,3867
203,-155.74712_19.09924,1832
204,-155.89818_19.20696,1241
205,-155.76630_19.09527,3865
206,-155.76159_19.08324,3814
207,-155.88155_19.21130,8599
208,-155.89723_19.20359,7548
209,-155.89760_19.20533,7548
210,-155.90133_19.20382,7549
211,-155.74495_19.11278,4826
212,-155.75238_19.10809,1831
213,-155.75737_19.08904,3872
214,-155.78672_19.11183,3806
215,-155.73533_19.12075,2923
216,-155.53282_19.10450,3174
