,Uid,Elevation_m
0,-155.89725_19.20586,24.9516239166
1,-155.89724_19.20570,25.434923171999998
2,-155.90023_19.20875,6.58329772949
3,-155.89958_19.20908,6.35345602036
4,-155.79086_19.10506,708.195861816
5,-155.79047_19.10405,698.954833984
6,-155.75784_19.12333,1069.43457031
7,-155.74633_19.11318,1021.12939453
8,-155.74723_19.11305,1014.40863037
9,-155.75078_19.09273,772.8827514649998
10,-155.89549_19.20763,37.8236732483
11,-155.89548_19.20741,38.5974617004
12,-155.86389_19.19778,554.039367676
13,-155.86487_19.19792,544.798339844
14,-155.47667_19.20571,294.871582031
15,-155.89268_19.20675,128.953811646
16,-155.89560_19.20302,87.369354248
17,-155.77293_19.10842,829.1688232419999
18,-155.72036_19.13963,1328.60229492
19,-155.89778_19.20785,17.8223323822
20,-155.89620_19.20419,56.4538879395
21,-155.89985_19.20658,17.575222015399998
22,-155.90019_19.20271,33.4968223572
23,-155.90074_19.20338,21.724649429299998
24,-155.90077_19.20371,21.9258880615
25,-155.90080_19.20388,22.6388454437
26,-155.90090_19.20402,22.5467033386
27,-155.89469_19.20448,83.58895111079998
28,-155.73909_19.13076,1245.8533935500002
29,-155.76511_19.13142,1121.94018555
30,-155.86346_19.19491,539.337768555
31,-155.47504_19.19330,210.4425354
32,-155.89932_19.20265,35.472061157199995
33,-155.87037_19.21610,530.5168457030001
34,-155.74451_19.10638,952.66204834
35,-155.74475_19.10630,949.301696777
36,-155.88396_19.20759,315.873840332
37,-155.89970_19.20556,20.9252433777
38,-155.76402_19.11357,937.9604492190001
39,-155.73858_19.10653,968.203674316
40,-155.78360_19.09204,634.267944336
41,-155.75519_19.08632,681.3129882809999
42,-155.88237_19.19348,331.415496826
43,-155.75677_19.09078,729.618164063
44,-155.78319_19.11489,841.3500976560001
45,-155.89999_19.20441,27.1398410797
46,-155.89987_19.20515,24.5779914856
47,-155.73774_19.10733,983.3253173830001
48,-155.78712_19.10078,684.253295898
49,-155.79418_19.09762,634.6879882809999
50,-155.79560_19.09958,641.408691406
51,-155.75358_19.08409,652.7499389649998
52,-155.79207_19.11453,783.8039550779998
53,-155.77730_19.12679,1009.36810303
54,-155.86303_19.19663,556.559631348
55,-155.86215_19.19665,562.440246582
56,-155.74747_19.10313,902.676696777
57,-155.75324_19.12140,1079.09558105
58,-155.78636_19.09109,612.0055541990001
59,-155.63670_19.04375,398.202636719
60,-155.74521_19.10380,918.6383666989999
61,-155.78990_19.09984,661.990905762
62,-155.79240_19.09840,644.3489990230001
63,-155.90180_19.20631,10.7876033783
64,-155.86984_19.20140,496.49316406300005
65,-155.87002_19.20071,493.552856445
66,-155.77006_19.11674,939.220581055
67,-155.78675_19.09963,677.1125488280001
68,-155.80007_19.09774,612.84564209
69,-155.74286_19.13197,1251.31396484
70,-155.77196_19.10771,830.0089111329999
71,-155.76042_19.08995,695.1744384769999
72,-155.76408_19.08738,654.8501586910002
73,-155.79972_19.09634,602.764587402
74,-155.89586_19.20974,35.1579055786
75,-155.77931_19.13516,1097.99755859
76,-155.75716_19.07743,585.9627685550001
77,-155.89944_19.20756,13.2959833145
78,-155.74814_19.11824,1065.6541748
79,-155.89848_19.20920,13.3347949982
80,-155.62261_19.04501,295.711669922
81,-155.73720_19.11311,1050.11242676
82,-155.77665_19.14746,1232.4119873
83,-155.80010_19.09669,604.024719238
84,-155.88300_19.21130,341.496582031
85,-155.63086_19.03071,290.25109863299997
86,-155.89486_19.20283,103.331069946
87,-155.89500_19.20321,99.55065917969999
88,-155.76610_19.08870,660.31072998
89,-155.76212_19.08778,671.2318725590001
90,-155.77469_19.11530,900.9965209960001
91,-155.89955_19.20359,33.1638450623
92,-155.85655_19.19473,633.4278564449999
93,-155.85698_19.19467,626.28704834
94,-155.85831_19.19462,612.84564209
95,-155.89822_19.20748,17.7760715485
96,-155.76281_19.12923,1097.99755859
97,-155.89521_19.20437,79.3885040283
98,-155.89796_19.20290,45.3523139954
99,-155.59500_19.05975,241.945907593
100,-155.58974_19.05960,217.163253784
101,-155.77928_19.08883,620.4064331049998
102,-155.77935_19.08901,621.246520996
103,-155.58281_19.05955,200.361465454
104,-155.75765_19.11064,927.8793945310001
105,-155.76574_19.09562,725.837768555
106,-155.74656_19.11723,1064.81408691
107,-155.74668_19.11755,1066.4942627
108,-155.76222_19.09904,782.963867188
109,-155.90417_19.20309,11.026370048499999
110,-155.90401_19.20303,11.9220666885
111,-155.89689_19.20278,59.0009803772
112,-155.89728_19.20273,56.683330535900005
113,-155.89747_19.20854,21.3727893829
114,-155.89868_19.20337,37.541606903099996
115,-155.86761_19.20027,522.955993652
116,-155.86572_19.19937,548.158691406
117,-155.47465_19.27137,677.5325927729999
118,-155.73765_19.11622,1091.27685547
119,-155.86951_19.29686,467.090026855
120,-155.77780_19.13186,1069.85461426
121,-155.62615_19.04545,345.27697753900003
122,-155.75858_19.09129,721.637268066
123,-155.89576_19.20583,46.1450538635
124,-155.77975_19.05684,354.097930908
125,-155.87163_19.19592,473.390716553
126,-155.63820_19.03628,376.360321045
127,-155.85572_19.14104,438.52697753900003
128,-155.89680_19.20692,22.473009109499998
129,-155.75997_19.10714,883.7746582029998
130,-155.89893_19.20573,20.6532726288
131,-155.89859_19.20746,16.8342075348
132,-155.58274_19.05937,200.361465454
133,-155.58268_19.05919,200.78150939900002
134,-155.87097_19.27128,468.77020263699995
135,-155.87140_19.27209,458.26907348599997
136,-155.85996_19.19475,583.8625488280001
137,-155.76557_19.09003,673.75213623
138,-155.85956_19.19483,591.8433837889999
139,-155.78344_19.11482,840.510009766
140,-155.89913_19.20825,9.97252655029
141,-155.90058_19.20636,18.236787795999998
142,-155.77633_19.14128,1172.765625
143,-155.80303_19.09945,619.14630127
144,-155.80316_19.09982,621.6665649409999
145,-155.77546_19.13130,1072.79492188
146,-155.75580_19.09564,780.863647461
147,-155.75623_19.09495,772.8827514649998
148,-155.75565_19.08876,709.876037598
149,-155.86922_19.27496,485.151947021
150,-155.86512_19.20084,559.91998291
151,-155.86468_19.20078,563.700378418
152,-155.86376_19.20057,572.101257324
153,-155.86260_19.19854,573.781433105
154,-155.86255_19.19777,569.160949707
155,-155.78534_19.09445,634.6879882809999
156,-155.72174_19.14376,1371.4468994099998
157,-155.78440_19.09559,648.1293945310001
158,-155.75585_19.10454,877.0539550779998
159,-155.77316_19.10978,843.8703613279998
160,-155.77007_19.11330,893.855712891
161,-155.90443_19.20400,10.6061210632
162,-155.77988_19.11605,880.414306641
163,-155.86524_19.19993,555.299499512
164,-155.62645_19.03907,297.811889648
165,-155.78123_19.13213,1046.33203125
166,-155.78096_19.12601,988.365844727
167,-155.76301_19.09707,754.820861816
168,-155.76998_19.13221,1100.93786621
169,-155.77022_19.13212,1097.99755859
170,-155.89962_19.20315,35.5548019409
171,-155.73119_19.11879,1106.39855957
172,-155.79000_19.06109,384.761199951
173,-155.74864_19.08447,675.8523559569999
174,-155.78108_19.08815,613.2656860350002
175,-155.78312_19.08835,609.9053344729999
176,-155.78244_19.08877,614.9458618159999
177,-155.89799_19.20501,30.9292297363
178,-155.77903_19.09787,706.09564209
179,-155.75805_19.08521,666.1913452150002
180,-155.79366_19.10924,739.279174805
181,-155.79495_19.10865,730.0382080079999
182,-155.90136_19.20646,14.508358001700001
183,-155.47196_19.19937,244.466186523
184,-155.77017_19.10606,817.407531738
185,-155.76872_19.13159,1105.97839355
186,-155.89765_19.20633,20.646894455
187,-155.61010_19.04397,219.26348877
188,-155.78383_19.09678,660.31072998
189,-155.77880_19.11729,897.216125488
190,-155.75775_19.10443,865.71270752
191,-155.90103_19.20547,20.483625412000002
192,-155.74568_19.09332,786.32421875
193,-155.58261_19.06007,199.101318359
194,-155.77905_19.09272,656.950378418
195,-155.89879_19.20453,30.945825576799997
196,-155.86855_19.28008,478.851287842
197,-155.76034_19.10066,813.62713623
198,-155.77569_19.10701,813.207092285
199,-155.77580_19.10733,816.567443848
200,-155.89826_19.20399,32.5662078857
201,-155.89828_19.20415,31.3865261078
202,-155.76227_19.10261,817.827575684
203,-155.74712_19.09924,868.232971191
204,-155.89818_19.20696,18.5393352509
205,-155.76630_19.09527,722.477355957
206,-155.76159_19.08324,631.3276367190001
207,-155.88155_19.21130,367.539367676
208,-155.89723_19.20359,40.784629821799996
209,-155.89760_19.20533,30.2079086304
210,-155.90133_19.20382,20.6730575562
211,-155.74495_19.11278,1022.80957031
212,-155.75238_19.10809,927.039306641
213,-155.75737_19.08904,714.4965209960001
214,-155.78672_19.11183,786.32421875
215,-155.73533_19.12075,1137.48181152
216,-155.53282_19.10450,3.99121665955
217,-155.75170_19.11706,1039.19128418
218,-155.75810_19.13075,1154.28356934
219,-155.58672_19.06111,206.662139893
