,Uid,dist2_MunWells_m
0,-155.89725_19.20586,19001.945220541336
1,-155.89724_19.20570,18989.236868265558
2,-155.90023_19.20875,19449.76734566735
3,-155.89958_19.20908,19424.554821653765
4,-155.79086_19.10506,3251.221481650896
5,-155.79047_19.10405,3156.9327498995403
6,-155.75784_19.12333,3894.633012266279
7,-155.74633_19.11318,3341.331399005548
8,-155.74723_19.11305,3274.6591245636164
9,-155.75078_19.09273,1567.733946602147
10,-155.89549_19.20763,19002.368164858985
11,-155.89548_19.20741,18984.057886878592
12,-155.86389_19.19778,15919.943797010632
13,-155.86487_19.19792,15999.116581901028
14,-155.47667_19.20571,1071.4297073101095
15,-155.89268_19.20675,18721.16256972996
16,-155.89560_19.20302,18661.13272434
17,-155.77293_19.10842,2320.090265864408
18,-155.72036_19.13963,7333.482205114934
19,-155.89778_19.20785,19193.29577423772
20,-155.89620_19.20419,18795.56163972836
21,-155.89985_19.20658,19256.814259308532
22,-155.90019_19.20271,18996.23137207283
23,-155.90074_19.20338,19088.90830944212
24,-155.90077_19.20371,19116.175185953423
25,-155.90080_19.20388,19130.7863461028
26,-155.90090_19.20402,19148.689378645784
27,-155.89469_19.20448,18701.04250226969
28,-155.73909_19.13076,5387.70490975324
29,-155.76511_19.13142,4713.8499156760445
30,-155.86346_19.19491,15651.301161464966
31,-155.47504_19.19330,1694.2452036449768
32,-155.89932_19.20265,18923.658352414317
33,-155.87037_19.21610,17919.160416128107
34,-155.74451_19.10638,2910.2309090088843
35,-155.74475_19.10630,2885.244606894868
36,-155.88396_19.20759,18142.743278162015
37,-155.89970_19.20556,19168.800545689908
38,-155.76402_19.11357,2740.894814592851
39,-155.73858_19.10653,3409.9620261866767
40,-155.78360_19.09204,1978.8027187600776
41,-155.75519_19.08632,1080.1397041477155
42,-155.88237_19.19348,16923.044374424462
43,-155.75677_19.09078,902.6585884183376
44,-155.78319_19.11489,3456.182984755302
45,-155.89999_19.20441,19105.737313030928
46,-155.89987_19.20515,19151.406980074884
47,-155.73774_19.10733,3533.069397230452
48,-155.78712_19.10078,2667.464806762589
49,-155.79418_19.09762,3210.8955525568335
50,-155.79560_19.09958,3422.984049311725
51,-155.75358_19.08409,1321.304805423106
52,-155.79207_19.11453,4018.6693048057564
53,-155.77730_19.12679,4393.005744979689
54,-155.86303_19.19663,15764.552804912346
55,-155.86215_19.19665,15705.675716273357
