,Uid,rainfall_in
0,-159.38319_22.06290,71.17891693120002
1,-159.36375_22.04884,60.2787704468
2,-159.33499_22.05483,46.8750953674
3,-159.33575_22.05437,46.8750953674
4,-159.33549_22.05453,46.8750953674
5,-159.36667_22.05090,61.5946311951
6,-159.33524_22.05467,46.8750953674
7,-159.33479_22.05499,46.8750953674
8,-159.33497_22.05526,46.959804534899995
9,-159.33523_22.05516,46.8750953674
10,-159.36249_22.20132,58.0367240906
11,-159.36439_22.08918,67.00540924069999
12,-159.54525_22.22066,85.7243881226
13,-159.32755_22.09119,45.4602622986
14,-159.32678_22.09147,45.7554092407
15,-159.36923_22.07280,65.5139923096
16,-159.36682_22.09854,73.60187530519998
17,-159.32774_22.09138,45.7554092407
18,-159.32713_22.09147,45.7554092407
19,-159.42997_22.21426,63.7307128906
20,-159.38456_22.06385,72.46171569819998
21,-159.36513_22.08871,66.08015441890001
22,-159.36949_22.08833,69.5960617065
23,-159.40776_22.21267,63.643775939899996
24,-159.72925_22.01108,23.5800628662
25,-159.55180_22.20714,102.53139495799999
26,-159.45370_22.20845,73.6662139893
27,-159.38376_22.06305,71.17891693120002
28,-159.40686_22.20596,68.437286377
29,-159.37217_22.21388,54.4716911316
30,-159.36575_22.10499,75.66971588129998
31,-159.40879_22.20734,67.0703735352
32,-159.40626_22.20494,68.13623046880001
33,-159.37124_22.07534,67.1516342163
34,-159.37058_22.07304,66.7995758057
35,-159.36835_22.07258,65.5139923096
36,-159.36659_22.07346,64.4825820923
37,-159.49555_22.21149,76.83080291749998
38,-159.36583_22.07118,62.9990234375
39,-159.50211_22.20279,84.0475540161
40,-159.50189_22.20302,84.0475540161
41,-159.49347_22.20350,82.2793502808
42,-159.49646_22.20556,80.8119659424
43,-159.39061_22.06091,74.51384735109998
44,-159.39049_22.06119,74.51384735109998
45,-159.38948_22.06223,75.14752960209998
46,-159.38918_22.06207,75.14752960209998
47,-159.38872_22.05970,73.90380096439999
48,-159.39088_22.06142,75.8489151001
49,-159.37532_22.05796,66.8338012695
50,-159.37762_22.05874,67.9123687744
51,-159.37785_22.05646,67.4851913452
52,-159.37770_22.05679,67.4851913452
53,-159.31938_22.08625,42.6040000916
54,-159.2965_22.13993,42.073329925500005
55,-159.37778_22.05450,67.0687713623
56,-159.37668_22.05470,65.9999084473
57,-159.37109_22.05560,64.30811309810001
58,-159.37002_22.05496,62.9187698364
59,-159.35120_22.08401,56.60335540770001
60,-159.32145_22.06058,43.067260742200006
61,-159.35882_22.07407,59.461578369099996
62,-159.37807_22.06869,69.7544631958
63,-159.50568_22.20036,87.9194107056
64,-159.50447_22.20020,86.95400238040001
65,-159.50459_22.20056,86.95400238040001
66,-159.49909_22.20509,81.4998092651
67,-159.35593_22.09486,61.976413726800004
68,-159.35776_22.10200,66.6363067627
69,-159.35836_22.10320,67.8050765991
70,-159.36178_22.09910,69.3372879028
71,-159.35559_22.08986,60.518241882299996
72,-159.32786_22.09156,46.6607284546
73,-159.40691_22.21050,63.643775939899996
74,-159.40355_22.21151,63.0668373108
75,-159.38589_22.05618,70.9156341553
76,-159.39246_22.05623,74.6451873779
77,-159.37335_22.06201,66.5675048828
78,-159.37674_22.07323,69.4346923828
79,-159.37362_22.10225,82.68264770509998
80,-159.37361_22.10282,84.5498962402
81,-159.37959_22.10332,93.515335083
82,-159.37086_22.09684,76.69649505619999
83,-159.36932_22.09639,74.436340332
84,-159.40463_22.20752,66.55127716060001
85,-159.40496_22.20751,66.55127716060001
86,-159.38940_22.20767,63.6301994324
87,-159.42943_22.18399,90.1673583984
88,-159.42986_22.18299,92.5428771973
89,-159.49965_22.20224,83.3514938354
90,-159.50320_22.20228,84.0475540161
91,-159.49484_22.21291,75.7899703979
92,-159.32544_22.10184,46.2850914001
93,-159.32398_22.10324,46.7260780334
94,-159.49590_22.21252,76.83080291749998
95,-159.49811_22.20475,81.1237564087
96,-159.49781_22.20491,81.1237564087
97,-159.49685_22.20528,81.1237564087
98,-159.36720_22.07573,64.7869949341
99,-159.36673_22.07564,64.7869949341
100,-159.36656_22.08065,65.6310806274
101,-159.35594_22.08604,59.424884796099995
102,-159.35546_22.08609,59.424884796099995
103,-159.30608_22.13525,44.4749298096
104,-159.30600_22.13507,44.4749298096
105,-159.30611_22.13367,44.4851989746
106,-159.30608_22.13349,44.4851989746
107,-159.30527_22.13336,44.4851989746
108,-159.54408_22.21768,87.9488601685
109,-159.54715_22.22223,84.2783355713
110,-159.54817_22.22203,84.2783355713
111,-159.36389_22.04826,60.022380828900005
112,-159.36250_22.07498,61.9259910583
113,-159.36859_22.10281,79.103843689
114,-159.33551_22.05500,46.8750953674
115,-159.33762_22.04777,47.341438293500005
116,-159.33515_22.05389,46.8750953674
117,-159.34007_22.05573,48.8851966858
118,-159.34333_22.05852,50.1145591736
119,-159.34392_22.05939,51.258251190200006
120,-159.34474_22.05720,51.062442779499996
121,-159.34172_22.05780,50.1145591736
122,-159.34182_22.05247,49.5665779114
123,-159.34552_22.05366,50.8630485535
124,-159.38573_22.05837,71.3897628784
125,-159.54858_22.22269,85.1300201416
126,-159.36670_22.05864,62.6003417969
127,-159.36190_22.06145,60.7597770691
128,-159.36341_22.06147,60.7597770691
129,-159.37729_22.05862,67.9123687744
130,-159.37845_22.07533,71.3724822998
131,-159.37551_22.05880,66.8338012695
132,-159.39396_22.05851,76.5551986694
133,-159.36237_22.04735,59.0086784363
134,-159.36817_22.05024,61.295291900600006
135,-159.36773_22.05059,61.295291900600006
136,-159.37207_22.05963,64.69921875
137,-159.38710_22.05817,72.6228561401
138,-159.39491_22.06539,78.84940338129998
139,-159.39285_22.06447,77.310585022
140,-159.38858_22.05732,73.3837585449
141,-159.38692_22.05624,72.121887207
142,-159.35757_22.07854,59.6897697449
143,-159.38225_22.06468,71.7260513306
144,-159.37678_22.06450,68.1195602417
145,-159.37771_22.06470,69.2866897583
146,-159.32992_22.05420,44.719871521
147,-159.34031_22.05721,48.8851966858
148,-159.31810_22.06507,42.1440658569
149,-159.31816_22.06487,42.1440658569
150,-159.38081_22.07168,72.178527832
151,-159.35782_22.08623,60.7330093384
152,-159.36960_22.07564,66.1797103882
153,-159.36109_22.07308,60.5629043579
154,-159.36143_22.07309,60.5629043579
155,-159.36129_22.07114,60.5629043579
156,-159.36236_22.06906,61.6180648804
157,-159.36229_22.06934,61.6180648804
158,-159.36056_22.07147,60.5629043579
159,-159.37337_22.06851,67.3367919922
160,-159.32728_22.09167,45.7554092407
161,-159.36191_22.06732,61.4578018188
162,-159.36211_22.06794,61.4578018188
163,-159.37220_22.09662,76.69649505619999
164,-159.31801_22.06757,42.0830383301
165,-159.31811_22.06993,41.9953842163
166,-159.32064_22.07468,42.3494949341
167,-159.32668_22.09033,45.4602622986
168,-159.31540_22.08257,41.3389282227
169,-159.31992_22.08606,42.6040000916
170,-159.32120_22.08608,43.334114074700004
171,-159.36162_22.09490,67.0854721069
172,-159.35431_22.09559,60.432079315200006
173,-159.34886_22.09346,57.0122528076
174,-159.35645_22.09565,61.976413726800004
175,-159.33024_22.09890,48.801109313999994
176,-159.34940_22.09712,58.2807388306
177,-159.34527_22.09762,55.529209136999995
178,-159.33801_22.08967,50.5765647888
179,-159.34967_22.09837,59.042304992700004
180,-159.34074_22.09948,53.496799468999995
181,-159.34209_22.09420,53.7200012207
182,-159.34289_22.09152,53.2725257874
183,-159.32548_22.09156,44.8813552856
184,-159.32532_22.08542,44.1139335632
185,-159.32926_22.09519,46.9914627075
186,-159.33074_22.09561,48.009475708000004
187,-159.33027_22.09416,48.009475708000004
188,-159.33008_22.09406,48.009475708000004
189,-159.32278_22.10119,45.4389419556
190,-159.31463_22.09235,41.9784202576
191,-159.31681_22.09085,42.3316192627
192,-159.31905_22.08790,42.7781600952
193,-159.32074_22.08917,43.0220184326
194,-159.32210_22.09013,43.78262329100001
195,-159.32192_22.08936,43.78262329100001
196,-159.32147_22.08865,43.5279426575
197,-159.32170_22.08848,43.5279426575
198,-159.32155_22.08965,43.78262329100001
199,-159.32156_22.08981,43.78262329100001
