,Uid,dist2_Wetlands_m
0,-155.89725_19.20586,6370.780777340664
1,-155.89724_19.20570,6374.45488499175
2,-155.90023_19.20875,6606.687153531263
3,-155.89958_19.20908,6532.596139677439
4,-155.79086_19.10506,6103.056269876188
5,-155.79047_19.10405,6211.62598809367
6,-155.75784_19.12333,7737.104622260388
7,-155.74633_19.11318,7494.629565664493
8,-155.74723_19.11305,7571.986622059885
9,-155.75078_19.09273,8228.978477513085
10,-155.89549_19.20763,6145.197447255518
11,-155.89548_19.20741,6148.840234245844
12,-155.86389_19.19778,3632.8874515752564
13,-155.86487_19.19792,3699.6986025128867
14,-155.47667_19.20571,5300.22474842524
15,-155.89268_19.20675,5880.679908487486
16,-155.89560_19.20302,6290.97753978913
17,-155.77293_19.10842,7313.423748342006
18,-155.72036_19.13963,3495.7992506000774
19,-155.89778_19.20785,6374.243728166441
20,-155.89620_19.20419,6313.067607209192
21,-155.89985_19.20658,6617.282570402196
22,-155.90019_19.20271,6761.85591255825
23,-155.90074_19.20338,6796.924899697123
24,-155.90077_19.20371,6790.3002115988465
25,-155.90080_19.20388,6788.196755238307
26,-155.90090_19.20402,6793.695239829244
27,-155.89469_19.20448,6151.310055298463
28,-155.73909_19.13076,5644.941742685288
29,-155.76511_19.13142,7070.442502952658
30,-155.86346_19.19491,3824.849710823653
31,-155.47504_19.19330,5022.017617139032
32,-155.89932_19.20265,6676.066464841768
33,-155.87037_19.21610,3374.5392675881353
34,-155.74451_19.10638,7439.15059505065
35,-155.74475_19.10630,7464.72311260382
36,-155.88396_19.20759,4972.548959744839
37,-155.89970_19.20556,6629.216266361332
38,-155.76402_19.11357,7840.622021392199
39,-155.73858_19.10653,6815.358992760823
40,-155.78360_19.09204,7686.37626033739
41,-155.75519_19.08632,8832.370859092287
42,-155.88237_19.19348,5469.756742030944
43,-155.75677_19.09078,8888.482392106678
44,-155.78319_19.11489,6018.306912618452
45,-155.89999_19.20441,6690.412402718036
46,-155.89987_19.20515,6657.604413595622
47,-155.73774_19.10733,6729.131578788477
48,-155.78712_19.10078,6717.639867430318
49,-155.79418_19.09762,6511.241724188809
50,-155.79560_19.09958,6247.757522673956
51,-155.75358_19.08409,8733.249431715718
52,-155.79207_19.11453,5291.50482898952
53,-155.77730_19.12679,5978.65465385758
54,-155.86303_19.19663,3655.9374647593036
55,-155.86215_19.19665,3590.4678719719045
56,-155.74747_19.10313,7757.174305974367
57,-155.75324_19.12140,7457.739658903795
58,-155.78636_19.09109,7584.264316688352
59,-155.63670_19.04375,7840.218255419442
60,-155.74521_19.10380,7516.268045130958
61,-155.78990_19.09984,6599.6118749238685
62,-155.79240_19.09840,6555.691131939731
63,-155.90180_19.20631,6824.491974902996
64,-155.86984_19.20140,3886.9363592311997
65,-155.87002_19.20071,3944.575623287737
66,-155.77006_19.11674,7115.972757866601
67,-155.78675_19.09963,6837.000713106971
68,-155.80007_19.09774,6153.489340908178
69,-155.74286_19.13197,5894.292037234272
70,-155.77196_19.10771,7441.989032695571
71,-155.76042_19.08995,9283.05100809097
72,-155.76408_19.08738,9291.460062775517
73,-155.79972_19.09634,6304.459997519604
74,-155.89586_19.20974,6134.305062512621
75,-155.77931_19.13516,5523.108445050999
76,-155.75716_19.07743,8702.996137067821
77,-155.89944_19.20756,6551.562339485595
78,-155.74814_19.11824,7254.019470832653
79,-155.89848_19.20920,6416.580906927062
80,-155.62261_19.04501,7582.585611747852
81,-155.73720_19.11311,6717.677945424858
82,-155.77665_19.14746,5698.174491880243
83,-155.80010_19.09669,6251.403029016846
84,-155.88300_19.21130,4774.8274134984085
85,-155.63086_19.03071,6966.784500374294
86,-155.89486_19.20283,6223.075060173027
87,-155.89500_19.20321,6224.398604558959
88,-155.76610_19.08870,9232.174204097375
89,-155.76212_19.08778,9424.327657597625
