,Uid,WT_elev_m
0,-156.01668_19.68770,0.750014424324
1,-156.01733_19.68766,0.750014424324
2,-156.01361_19.67342,0.6940719485279999
3,-156.02529_19.66875,0.550047039986
4,-156.01103_19.67432,0.74797552824
5,-156.01033_19.67536,0.74797552824
6,-156.01093_19.67534,0.74797552824
7,-156.00700_19.66375,0.740099906921
8,-156.01550_19.67308,0.674136579037
9,-156.02115_19.68882,0.682593345642
10,-156.01579_19.68798,0.750014424324
11,-156.01533_19.68692,0.7307200431820001
12,-156.01534_19.68593,0.7307200431820001
13,-156.02297_19.66819,0.554368138313
14,-156.01467_19.68489,0.7307200431820001
15,-156.02024_19.68566,0.661810100079
16,-156.02014_19.68526,0.661810100079
17,-156.01980_19.68382,0.661810100079
18,-156.01663_19.68566,0.7307200431820001
19,-156.01807_19.68863,0.682593345642
20,-156.01753_19.68861,0.750014424324
21,-156.01666_19.68893,0.750014424324
22,-156.02132_19.68920,0.682593345642
23,-156.01452_19.67326,0.6940719485279999
24,-156.02093_19.68824,0.682593345642
25,-156.02073_19.68764,0.682593345642
26,-156.02057_19.68705,0.661810100079
27,-156.02043_19.68646,0.661810100079
28,-155.18129_19.68382,23.9764633179
29,-155.18203_19.68747,23.9069766998
30,-155.18132_19.68315,23.9764633179
31,-155.18134_19.68265,23.9764633179
32,-155.18155_19.68241,24.0432338715
33,-155.11043_19.67656,11.228642463699998
34,-155.11011_19.67637,11.228642463699998
35,-155.10980_19.67639,11.0904445648
36,-155.10919_19.67643,11.0904445648
37,-155.10921_19.67609,11.0904445648
38,-155.08174_19.68688,9.95962047577
39,-155.08582_19.68037,10.119058609
40,-155.09716_19.68070,10.680651664700001
41,-155.03663_19.67000,8.42367172241
42,-155.05158_19.66681,9.26183414459
43,-155.07014_19.68495,9.325963974
44,-155.06294_19.68647,9.11925315857
45,-155.07626_19.68600,9.53632068634
46,-155.06305_19.68868,8.87945270538
47,-155.06345_19.68886,8.87945270538
48,-155.06343_19.68866,8.87945270538
49,-155.06303_19.68847,8.87945270538
50,-156.01219_19.67362,0.74797552824
51,-156.02032_19.68895,0.682593345642
52,-156.01955_19.68924,0.682593345642
53,-156.01920_19.68938,0.682593345642
54,-156.01869_19.68836,0.682593345642
55,-156.01923_19.68820,0.682593345642
56,-156.01862_19.68739,0.682593345642
57,-156.01878_19.68623,0.661810100079
58,-156.01915_19.68615,0.661810100079
59,-156.01951_19.68608,0.661810100079
60,-156.01930_19.68514,0.661810100079
61,-156.01894_19.68521,0.661810100079
62,-156.01858_19.68528,0.661810100079
63,-156.01822_19.68535,0.661810100079
64,-156.01786_19.68543,0.7307200431820001
65,-156.01741_19.68435,0.7307200431820001
66,-156.01885_19.68405,0.661810100079
67,-156.01373_19.67472,0.6940719485279999
68,-155.96947_19.67748,12.7013263702
69,-155.98110_19.67044,0.9682485461239999
70,-155.96813_19.67776,12.7013263702
71,-155.96685_19.67639,12.7013263702
72,-155.96496_19.68023,27.3020515442
73,-155.97889_19.68554,3.26006913185
74,-155.97902_19.68592,3.26006913185
75,-155.97016_19.67848,16.425073623699998
76,-155.96876_19.67749,12.7013263702
77,-155.97887_19.67000,1.04192960262
78,-155.98622_19.67417,0.9602223634720001
79,-155.96875_19.67870,16.425073623699998
80,-155.96795_19.67996,16.425073623699998
81,-155.96632_19.68007,16.425073623699998
82,-155.96706_19.67834,16.425073623699998
83,-155.97794_19.68594,3.26006913185
84,-155.97802_19.68635,3.26006913185
85,-155.96762_19.67775,12.7013263702
86,-155.96736_19.67878,16.425073623699998
87,-155.96804_19.67855,16.425073623699998
88,-155.97467_19.67122,2.71567559242
89,-155.96940_19.67994,16.425073623699998
90,-155.96719_19.68084,16.425073623699998
91,-155.98432_19.67171,0.9682485461239999
92,-155.96715_19.67270,9.4534702301
93,-155.96770_19.67510,12.7013263702
94,-155.98125_19.67683,0.9869288206100001
95,-155.96712_19.67537,12.7013263702
96,-155.97799_19.67699,1.27688837051
97,-155.96529_19.67812,27.3020515442
98,-155.97635_19.68897,5.49549293518
99,-155.97766_19.68761,5.49549293518
100,-155.96775_19.67406,12.7013263702
